time,temperature_2m_max,wind_gusts_10m_max,weather_code,precipitation_sum,precip_3d_cumsum,anomali_hujan,anomali_suhu,is_extreme
2020-02-09,25.5,23.0,63,7.4,29.0,0,1,1
2020-03-05,27.0,33.5,63,44.9,88.89999999999999,1,0,1
2020-03-20,29.0,23.8,65,92.0,118.6,1,0,1
2020-03-22,29.5,24.5,65,35.1,137.1,1,0,1
2020-03-29,29.1,30.6,65,57.6,77.4,1,0,1
2020-04-06,25.6,21.6,63,19.3,42.599999999999994,0,1,1
2020-05-31,26.3,22.7,63,31.2,50.9,0,1,1
2020-08-25,32.2,40.7,51,0.3,1.2,0,1,1
2020-09-18,33.8,38.9,53,2.7,5.0,0,1,1
2020-09-19,36.0,40.7,53,2.1,6.199999999999999,0,1,1
2020-09-20,34.9,46.4,61,3.2,8.0,0,1,1
2020-10-21,26.4,19.1,65,54.6,100.10000000000001,1,0,1
2020-10-27,26.8,25.6,65,117.5,189.0,1,0,1
2020-10-28,27.3,28.4,65,25.3,174.8,1,0,1
2020-11-05,29.1,38.9,65,108.8,120.30000000000001,1,0,1
2020-11-29,24.6,28.1,63,51.1,76.00000000000001,0,1,1
2020-12-12,26.6,26.6,65,63.1,78.10000000000002,1,0,1
2021-01-10,25.8,23.8,65,61.0,72.00000000000001,1,1,1
2021-02-10,26.1,23.4,65,31.3,53.10000000000002,0,1,1
2021-02-13,27.6,29.9,65,67.6,86.50000000000001,1,0,1
2021-02-17,26.7,28.4,65,59.1,74.30000000000001,1,0,1
2021-04-01,29.5,34.2,65,53.0,67.50000000000003,1,0,1
2021-06-16,29.6,26.3,65,56.0,65.80000000000003,1,0,1
2021-06-17,27.2,19.8,65,79.2,143.00000000000003,1,0,1
2021-06-18,28.6,27.7,53,0.9,136.10000000000002,1,0,1
2021-11-01,28.3,26.6,65,49.6,104.10000000000004,1,0,1
2021-11-07,29.2,20.2,65,48.3,99.50000000000003,1,0,1
2021-11-11,25.0,22.7,65,42.2,70.10000000000004,0,1,1
2021-11-14,25.1,23.8,63,22.5,48.80000000000003,0,1,1
2021-11-27,25.4,27.7,63,11.6,38.90000000000003,0,1,1
2021-12-19,29.5,25.9,65,46.4,111.00000000000003,1,0,1
2021-12-20,25.2,13.7,63,17.8,83.90000000000002,0,1,1
2021-12-23,28.5,22.7,65,76.3,107.40000000000003,1,0,1
2022-01-20,24.9,24.8,63,47.0,77.70000000000002,0,1,1
