latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
-7.697715,110.37447,210.0,28800,Asia/Singapore,GMT+8

time,temperature_2m_max (°C),temperature_2m_min (°C),apparent_temperature_max (°C),wind_gusts_10m_max (km/h),weather_code (wmo code),precipitation_sum (mm),precipitation_hours (h)
2020-01-01,27.8,23.1,31.9,29.2,63,18.30,19.0
2020-01-02,29.5,22.5,35.4,24.1,61,8.20,16.0
2020-01-03,28.9,22.8,32.4,49.7,53,2.00,7.0
2020-01-04,27.2,22.6,30.9,38.2,61,6.30,18.0
2020-01-05,27.8,23.5,32.6,38.2,63,15.20,20.0
2020-01-06,29.4,23.1,34.7,42.1,61,12.00,18.0
2020-01-07,27.1,23.2,31.8,31.0,63,18.70,22.0
2020-01-08,26.8,22.5,32.1,33.1,63,11.40,18.0
2020-01-09,28.1,21.6,34.0,29.9,63,12.50,12.0
2020-01-10,27.2,22.4,31.8,31.3,63,17.80,18.0
2020-01-11,27.8,22.7,31.2,40.3,61,8.00,15.0
2020-01-12,29.3,23.4,33.6,35.3,63,10.00,10.0
2020-01-13,29.8,22.9,34.2,33.5,51,0.60,6.0
2020-01-14,29.9,22.5,36.4,26.6,53,2.80,8.0
2020-01-15,29.7,21.9,35.7,30.2,63,8.20,13.0
2020-01-16,28.9,23.1,35.4,26.3,53,1.80,10.0
2020-01-17,29.6,22.5,36.3,28.8,51,0.60,3.0
2020-01-18,30.2,21.9,36.7,23.0,1,0.00,0.0
2020-01-19,29.5,22.1,35.5,22.3,51,1.00,5.0
2020-01-20,30.0,22.7,36.1,30.2,51,1.20,8.0
2020-01-21,29.5,22.0,35.3,23.4,53,2.30,7.0
2020-01-22,30.0,23.4,37.8,29.2,63,11.10,11.0
2020-01-23,29.4,23.7,36.6,27.4,63,11.30,14.0
2020-01-24,29.4,24.2,36.1,21.6,53,3.40,14.0
2020-01-25,30.1,23.4,36.8,30.2,63,10.90,11.0
2020-01-26,29.0,22.7,37.0,24.5,63,12.80,9.0
